State,City,Name,Language,Time(IST),Area,Price,Capacity,Booked
Kerala,Trivandrum,"BMS|SpCinemas2KAuro111Peyad",Malayalam,11:00,GoldB,₹230,30,0
Kerala,Trivandrum,"BMS|SpCinemas2KAuro111Peyad",Malayalam,11:00,Friends,₹180,413,2
Kerala,Wadakkancherry,"BMS|NewRagam3D2KDolbyAtmosWadakkancherry",Malayalam,11:00,Standard,₹129.75,363,20
Kerala,Thodupuzha,"BMS|AashirvadCineplexxThodupuzha",Malayalam,11:00,PlatinumRecliner,₹345,31,3
Kerala,Thodupuzha,"BMS|AashirvadCineplexxThodupuzha",Malayalam,11:00,Gold,₹185,96,11
Kerala,Thodupuzha,"BMS|AashirvadCineplexxThodupuzha",Malayalam,11:00,Silver,₹155,291,29
Kerala,Alappuzha,"BMS|RaibanCineHouseAlleppey",Malayalam,11:00,Balcony,₹180,211,1
Kerala,Alappuzha,"BMS|RaibanCineHouseAlleppey",Malayalam,11:00,Executive,₹165,73,0
Kerala,Alappuzha,"BMS|RaibanCineHouseAlleppey",Malayalam,11:00,FirstClass,₹149.01,313,5
Kerala,Trivandrum,"BMS|PvrLuluTrivandrum",Tamil,11:00,Recliner,₹450,9,1
Kerala,Trivandrum,"BMS|PvrLuluTrivandrum",Tamil,11:00,Prime,₹260,76,41
Kerala,Trivandrum,"BMS|PvrLuluTrivandrum",Tamil,11:00,Classic,₹240,105,4
Kerala,Kochi,"BMS|PvrLuluKochi",Malayalam,11:00,Recliner,₹530,54,21
Kerala,Kochi,"BMS|PvrLuluKochi",Malayalam,11:00,Recliner,₹380,10,9
Kerala,Kochi,"BMS|PvrLuluKochi",Malayalam,11:00,Prime,₹210,108,61
Kerala,Kochi,"BMS|PvrLuluKochi",Malayalam,11:00,ClassicPlus,₹170,138,68
Kerala,Kochi,"BMS|PvrLuluKochi",Malayalam,11:00,Classic,₹120,69,12
Kerala,Manjeri,"PTM|KairaliCinemas4KDolbyAtmosManjeri",Malayalam,11:00,LuxusCircle,₹130,309,0
Kerala,Valanchery,"PTM|KarthikaMoviesAC4KDolbyAtmosValanchery",Malayalam,11:00,ReclinerCircle,₹220,19,0
Kerala,Valanchery,"PTM|KarthikaMoviesAC4KDolbyAtmosValanchery",Malayalam,11:00,UpperCircle,₹110,339,3
Kerala,Trivandrum,"PTM|MtCineplex4KDolbyAtmosPothencode",Malayalam,11:00,Platinum,₹129.8,350,0
Kerala,Trivandrum,"BMS|DreamsAttingal",Malayalam,11:00,SpecialClass,₹130,344,18
Kerala,Trivandrum,"BMS|DreamsAttingal",Malayalam,11:00,Recliner,₹350,20,0
Kerala,Trivandrum,"BMS|DreamsAttingal",Malayalam,11:00,Sofa,₹200,20,5
Kerala,Kozhikode,"BMS|PalaxiCinemasHiLiteMallKozhikode",Malayalam,11:00,Recliner,₹400,55,4
Kerala,Kozhikode,"BMS|PalaxiCinemasHiLiteMallKozhikode",Malayalam,11:00,Premium,₹180,169,11
Kerala,Kozhikode,"BMS|PalaxiCinemasHiLiteMallKozhikode",Malayalam,11:00,Executive,₹100,75,19
Kerala,Kozhikode,"BMS|PalaxiCinemasHiLiteMallKozhikode",Malayalam,11:00,Lounger,₹200,32,5
Kerala,Kollam,"BMS|JbCinemas4K3DNallila",Malayalam,11:00,RedBox,₹150,15,0
Kerala,Kollam,"BMS|JbCinemas4K3DNallila",Malayalam,11:00,Red,₹129.83,232,8
Kerala,Trivandrum,"BMS|GTracksScreen1Sony4KKadinamkulam",Tamil,11:00,Gold,₹130,400,0
Kerala,Trivandrum,"BMS|GangaCineHouse4KDolbyAtmosAttingal",Malayalam,11:00,Sofa,₹300,42,0
Kerala,Trivandrum,"BMS|GangaCineHouse4KDolbyAtmosAttingal",Malayalam,11:00,Balcony,₹200,126,0
